date,hubei,country,notHubei
01.20,72,77,5
01.21,105,149,44
01.22,69,131,62
01.23,105,259,154
01.24,180,444,264
01.25,323,688,365
01.26,371,769,398
01.27,1291,1771,480
01.28,840,1459,619
01.29,1032,1737,705
01.30,1220,1982,762
01.31,1347,2102,755
02.01,1921,2590,669
02.02,2103,2829,726
02.03,2345,3235,890
02.04,3156,3893,737
02.05,2987,3697,710
02.06,2447,3143,696
02.07,2841,3401,560
02.08,2147,2656,509
02.09,2618,3062,444
02.10,2097,2484,387
02.11,1638,2022,384
02.12,14840,15153,313
02.13,4823,5093,270
02.14,2420,2644,224
02.15,1843,2009,166
02.16,1933,2051,118
02.17,1807,1891,84
02.18,1693,1751,58
02.19,775,820,45
02.20,631,892,261
02.21,366,399,33
02.22,630,649,19
02.23,398,416,18
02.24,499,517,18
02.25,401,411,10
02.26,409,440,31
02.27,318,329,11
02.28,423,430,7
02.29,570,579,9
03.01,196,206,10
03.02,114,128,14
03.03,115,120,5
03.04,134,143,9
03.05,126,145,19
03.06,74,103,29
03.07,41,46,5
03.08,36,45,9
03.09,17,20,3
03.10,13,31,18
03.11,8,25,17
03.12,5,11,6
03.13,4,18,14
03.14,4,27,23
03.15,4,29,25
03.16,4,39,35
03.17,1,35,34
03.18,0,84,84
03.19,0,65,65
03.20,0,116,116
03.21,0,82,82
03.22,0,102,102
03.23,1,147,146
03.24,0,99,99
03.25,0,114,114
03.26,0,118,118
03.27,0,135,135
03.28,0,128,128
03.29,0,106,106
03.30,0,98,98
03.31,1,86,85
04.01,0,93,93
04.02,0,78,78
04.03,1,73,72
04.04,0,55,55
04.05,0,75,75
04.06,0,66,66
04.07,0,86,86
04.08,0,92,92
04.09,0,56,56
04.10,0,64,64
04.11,0,113,113
04.12,0,115,115
04.13,0,99,99
04.14,0,49,49
04.15,0,52,52
04.16,0,27,27
04.17,0,31,31
04.18,0,21,21
04.19,0,36,36
04.20,0,13,13
04.21,0,37,37
04.22,0,15,15
04.23,0,9,9
04.24,0,13,13
04.25,0,14,14
04.26,0,3,3
04.27,0,6,6
04.28,0,22,22
04.29,0,4,4
04.30,0,12,12
05.01,0,3,3
05.02,0,5,5
05.03,0,7,7
05.04,0,4,4
05.05,0,2,2
05.06,0,3,3
05.07,0,6,6
05.08,0,1,1
05.09,1,14,13
05.10,5,20,15
05.11,0,1,1
05.12,0,7,7
05.13,0,6,6
05.14,0,5,5
05.15,0,9,9
05.16,0,5,5
05.17,0,10,10
05.18,1,6,5
05.19,0,5,5
05.20,0,2,2
05.21,0,13,13
05.22,0,2,2
05.23,0,3,3
05.24,0,11,11
05.25,0,7,7
05.26,0,1,1
05.27,0,3,3
05.28,0,0,0
05.29,0,18,18
05.30,0,5,5
05.31,0,18,18
06.01,0,9,9
06.02,0,7,7
06.03,0,1,1
06.04,0,11,11
06.05,0,6,6
06.06,0,9,9
06.07,0,5,5
06.08,0,4,4
06.09,0,3,3
06.10,0,11,11
06.11,0,7,7
06.12,0,11,11
06.13,0,58,58
06.14,0,49,49
06.15,0,45,45
06.16,0,44,44
06.17,0,36,36
06.18,0,37,37
06.19,0,30,30
06.20,0,27,27
06.21,0,21,21
06.22,0,52,52
06.23,0,28,28
06.24,0,21,21
06.25,0,29,29
06.26,0,24,24
06.27,0,18,18
06.28,0,14,14
06.29,0,23,23
06.30,0,5,5
07.01,0,31,31
07.02,0,15,15
07.03,0,9,9
07.04,0,19,19
07.05,0,14,14
07.06,0,25,25
07.07,0,21,21
07.08,0,33,33
07.09,0,46,46
07.10,0,42,42
07.11,0,35,35
07.12,0,46,46
07.13,0,55,55
07.14,0,54,54
