date,nowConfirm,rate,range,亚洲,其他,北美洲,大洋洲,欧洲,南美洲,非洲
02/16,600,0,,247,355,23,15,47,,
02/23,1718,186,02/17-02/23,969,691,42,17,176,,
03/01,6210,261,02/24-03/01,4938,712,94,29,1564,3.0,2.0
03/08,23190,273,03/02-03/08,15145,696,528,81,10373,55.0,81.0
03/15,67490,191,03/09-03/15,25684,712,3315,280,48928,325.0,315.0
03/22,201182,198,03/16-03/22,41064,712,29104,1422,158542,3213.0,1249.0
03/29,503473,150,03/23-03/29,77597,712,133841,4489,368901,10256.0,4397.0
04/05,904832,79,03/30-04/05,135849,712,333668,6739,634191,23510.0,8752.0
04/12,1274682,40,04/06-04/12,207968,712,566955,7663,871385,48376.0,13791.0
04/19,1587047,24,04/13-04/19,292679,712,789241,8002,1081236,78458.0,21275.0
04/26,1886211,18,04/20-04/26,383532,712,1016790,8190,1263967,131406.0,31075.0
05/03,2115555,12,04/27-05/03,461152,712,1258892,8292,1424914,199460.0,42403.0
05/10,2382982,12,05/04-05/10,579376,712,1475071,8461,1621301,298517.0,61085.0
05/17,2607715,9,05/11-05/17,708495,712,1663337,8570,1775221,424955.0,81681.0
05/24,2815215,7,05/18-05/24,869574,712,1856423,8644,1897832,605010.0,107388.0
05/31,3063438,8,05/25-05/31,1049345,712,2045278,8725,2019338,843975.0,140906.0
06/07,3241744,5,06/01-06/07,1272184,712,2258786,8790,2130708,1112460.0,182577.0
06/14,3420714,5,06/08-06/14,1518622,712,2460163,8850,2242081,1385472.0,231515.0
06/21,3685980,7,06/15-06/21,1795341,712,2702474,8998,2346947,1705395.0,295547.0
06/28,4116077,11,06/22-06/28,2103517,712,3029952,9241,2449309,2097926.0,370128.0
07/05,4379887,6,06/29-07/05,2466827,712,3438439,10011,2514705,2463633.0,462093.0
07/12,4757204,8,07/06-07/12,2839471,712,3935162,11378,2607243,2841299.0,576342.0
07/19,5119827,7,07/13-07/19,3264704,712,4492070,13397,2705315,3215434.0,700329.0
07/22,5274664,3,07/20-07/22,3456983,712,4723038,14505,2749770,3361311.0,748518.0
