date,confirm,rate,range
02/16,687,0,
02/23,1895,175,02/17-02/23
03/01,7342,287,02/24-03/01
03/08,26959,267,03/02-03/08
03/15,79559,195,03/09-03/15
03/22,235306,195,03/16-03/22
03/29,600193,155,03/23-03/29
04/05,1143421,90,03/30-04/05
04/12,1716850,50,04/06-04/12
04/19,2271603,32,04/13-04/19
04/26,2835672,24,04/20-04/26
05/03,3395825,19,04/27-05/03
05/10,4044523,19,05/04-05/10
05/17,4662971,15,05/11-05/17
05/24,5345583,14,05/18-05/24
05/31,6108279,14,05/25-05/31
06/07,6966217,14,06/01-06/07
06/14,7847415,12,06/08-06/14
06/21,8855414,12,06/15-06/21
06/28,10060785,13,06/22-06/28
07/05,11356420,12,06/29-07/05
07/12,12811607,12,07/06-07/12
07/15,13356946,4,07/13-07/15
