date,confirm_add,confirm,heal,dead
03.18,1,1,0,0
03.19,0,1,0,0
03.20,0,1,0,0
03.21,0,1,0,0
03.22,0,1,0,0
03.23,0,1,0,0
03.24,1,2,0,1
03.25,2,3,0,1
03.26,0,3,0,1
03.27,0,3,0,1
03.28,0,3,0,1
03.29,0,3,0,1
03.30,1,4,0,1
03.31,0,4,0,1
04.01,0,4,0,1
04.02,0,4,2,1
04.03,0,4,2,1
04.04,0,4,2,1
04.05,0,4,2,1
04.06,0,4,2,1
04.07,0,4,2,1
04.08,0,4,2,1
04.09,0,4,2,1
04.10,0,4,2,1
04.11,0,4,2,1
04.12,5,9,2,1
04.13,0,9,2,1
04.14,0,9,2,1
04.15,0,9,2,1
04.16,0,9,2,1
04.17,0,9,2,1
04.18,0,9,2,1
04.19,0,9,2,1
04.20,1,10,2,1
04.21,0,10,2,1
04.22,0,10,2,1
04.23,0,10,2,1
04.24,0,10,2,1
04.25,0,10,8,1
04.26,0,10,8,1
04.27,0,10,8,1
04.28,0,10,8,1
04.29,0,10,8,1
04.30,1,11,8,1
05.01,1,12,8,1
05.02,0,12,9,1
05.03,5,17,9,1
05.04,0,17,9,1
05.05,0,17,9,1
05.06,0,17,9,1
05.07,0,17,9,1
05.08,1,18,9,1
05.09,2,20,9,1
05.10,0,20,9,1
05.11,0,20,9,1
05.12,2,22,10,1
05.13,1,23,10,1
05.14,0,23,10,1
05.15,0,23,10,1
05.16,0,23,12,1
05.17,0,23,12,1
05.18,0,23,12,1
05.19,1,24,13,1
05.20,0,24,13,1
05.21,0,24,13,1
05.22,0,24,13,1
05.23,1,25,13,1
05.24,0,25,13,1
05.25,0,25,13,1
05.26,0,25,17,1
05.27,0,25,18,1
05.28,0,25,19,1
05.29,0,25,19,1
05.30,0,25,20,1
05.31,0,25,20,1
06.01,0,25,20,1
06.02,0,25,20,1
06.03,0,25,20,1
06.04,1,26,20,1
06.05,0,26,20,1
06.06,0,26,21,1
06.07,0,26,21,1
06.08,0,26,21,1
06.09,2,28,21,1
06.10,0,28,21,1
06.11,0,28,22,1
06.12,0,28,22,1
06.13,0,28,22,1
06.14,0,28,24,1
06.15,0,28,24,1
06.16,2,30,24,1
06.17,4,34,24,1
06.18,0,34,24,1
06.19,2,36,24,1
06.20,0,36,24,1
06.21,1,37,24,2
06.22,0,37,24,2
06.23,4,41,26,2
06.24,1,42,26,2
06.25,0,42,26,2
06.26,1,43,26,2
06.27,1,44,26,2
06.28,1,45,26,2
06.29,0,45,26,2
06.30,2,47,26,2
07.01,2,49,27,2
07.02,0,49,27,2
07.03,6,55,27,2
07.04,0,55,27,2
07.05,2,57,27,2
07.06,0,57,27,2
07.07,4,61,27,3
07.08,0,61,27,3
07.09,2,63,32,3
07.10,1,64,34,3
07.11,0,64,34,3
07.12,0,64,34,3
07.13,0,64,34,3
07.14,0,64,34,3
07.15,0,64,34,3
07.16,0,64,34,3
07.17,14,78,34,3
07.18,15,93,49,4
07.19,0,93,49,4
07.20,0,93,49,4
07.21,19,112,57,4
07.22,20,132,57,5
