date,confirm_add,confirm,heal,dead
03.21,0,4,0,0
03.22,1,5,0,0
03.23,0,5,0,0
03.24,6,6,0,0
03.25,1,7,0,0
03.26,1,8,0,0
03.27,0,8,0,0
03.28,2,8,0,0
03.29,0,8,0,0
03.30,0,8,0,0
03.31,0,8,0,0
04.01,2,10,0,0
04.02,0,10,0,0
04.03,0,10,0,0
04.04,0,10,0,1
04.05,0,10,0,1
04.06,0,10,0,1
04.07,0,10,0,1
04.08,0,10,3,1
04.09,0,10,4,1
04.10,0,10,4,1
04.11,0,10,4,1
04.12,0,10,4,1
04.13,0,10,4,1
04.14,0,10,6,1
04.15,0,10,6,1
04.16,0,10,6,1
04.17,0,10,6,1
04.18,0,10,6,1
04.19,0,10,6,1
04.20,0,10,6,1
04.21,0,10,6,1
04.22,0,10,6,1
04.23,0,10,6,1
04.24,0,10,6,1
04.25,0,10,7,1
04.26,0,10,7,1
04.27,0,10,7,1
04.28,0,10,7,1
04.29,0,10,7,1
04.30,0,10,8,1
05.01,0,10,8,1
05.02,0,10,8,1
05.03,0,10,8,1
05.04,0,10,9,1
05.05,0,10,9,1
05.06,0,10,9,1
05.07,0,10,9,1
05.08,0,10,9,1
05.09,0,10,9,1
05.10,0,10,9,1
05.11,0,10,9,1
05.12,0,10,9,1
05.13,0,10,9,1
05.14,0,10,9,1
05.15,0,10,9,1
05.16,0,10,9,1
05.17,0,10,9,1
05.18,1,11,9,1
05.19,0,11,9,1
05.20,0,11,9,1
05.21,0,11,9,1
05.22,0,11,9,1
05.23,0,11,9,1
05.24,0,11,9,1
05.25,0,11,9,1
05.26,0,11,9,1
05.27,0,11,9,1
05.28,1,12,9,1
05.29,0,12,9,1
05.30,0,12,9,1
05.31,2,14,9,1
06.01,9,23,9,1
06.02,21,44,9,1
06.03,10,54,9,1
06.04,20,74,9,1
06.05,8,82,9,1
06.06,9,91,9,1
06.07,9,100,9,1
06.08,22,122,9,1
06.09,8,130,9,2
06.10,7,137,9,2
06.11,7,144,9,2
06.12,24,168,9,2
06.13,19,187,9,3
06.14,9,196,9,3
06.15,12,208,9,3
06.16,21,229,48,5
06.17,7,236,48,6
06.18,25,261,48,6
06.19,16,277,74,7
06.20,16,293,74,8
06.21,9,302,74,8
06.22,12,314,106,8
06.23,5,319,132,8
06.24,0,319,132,9
06.25,38,357,154,10
06.26,16,373,176,10
06.27,18,391,181,10
06.28,76,467,191,11
06.29,25,492,199,12
06.30,9,501,217,13
07.01,16,517,227,13
07.02,18,535,242,13
07.03,12,547,254,13
07.04,14,561,267,13
07.05,4,565,276,14
07.06,29,594,292,14
07.07,20,614,315,14
07.08,20,634,405,15
07.09,37,671,435,17
07.10,28,699,456,17
07.11,27,726,481,18
07.12,15,741,495,18
07.13,21,762,509,18
07.14,18,780,526,18
07.15,21,801,544,18
07.16,48,849,573,18
07.17,70,919,582,19
07.18,24,943,600,19
07.19,58,1001,610,20
07.20,28,1029,627,21
07.21,50,1079,656,21
07.22,52,1131,705,21
